questionNumber,question,choices,choices1,choices2,choices3,choices4,choices5,fact,next
1,When was the United States Declaration of Independence signed?,"1776,1774,1777,1775,",1776,1774,1777,1775,,"The first battle of the American Revolution began on April 18, 1775.",2
2,"Which building was set afire on August 24, 1812?",,The White House,Parliament Building,the Reichstag,Palace of the Nation,,,3
3,Which king was killed at the Battle of Bosworth Field in 1485? ,,Richard III,Edward V,Henry VIII,James I,,,4
4,In which year was Constantinople conquered by the Turks?,,1453,1792,1914,1286,,,5
5,Where is Grant's Tomb?,,New York City,Savannah,St. Louis,Paducah,,,6
7,"In the year 1900, what were the most popular baby names in the United States?",,John and Mary,Joseph and Catherine,William and Elizabeth,George and Anne,,,8
8,"During the Spanish Civil War of 1936, Francisco Franco fought for which political faction?",,Nationalist Spain,Republican Spain,Popular Front,Papal State,,,9
9,"On what day did the United States declare war on Japan, entering World War II?",,"December 8, 1941","June 6, 1944","June 22, 1941","September 1, 1939",,,10
10,When was the fax machine invented?,,1843,1924,1964,1948,,,11
2,Which of these pieces of artwork was created in the Renaissance?,,<img src='img/botticelli.jpg'>,<img  src='img/lindisfarne.jpg'>,<img src='img/courtly.jpg'>,<img src='img/monreale.jpg'>,,"Sandro Botticelli, Young Woman (Simonetta Vespucci?) in Mythological Guise, c. 1480-1485, tempera on panel, Städelsches Kunstinstitut, Frankfurt am Main",3
5,Where is Grant's Tomb?,,New York City,Savannah,St. Louis,Paducah,,,6
6,Comedian Bob Hope was born in,,London,Cleveland,Palm Springs,New York,,,7
7,"Songwriter Irving Berlin, composer of 'God Bless America,' was born in ",,Siberia,New York,Berlin,Milwaukee,,,8
8,"Johnny Weissmuller, best known for his Tarzan movies, was born in",,Hungary,Illinois,California,New York,,,9
8,Joel McGinnis was born in,,Texas,Illinois,Wisconsin,Alaska,Hawaii,,9
5,Who was King David's general and nephew?,,Joab,Abishag,Bildad,Nabal,,,6
6,Who was the prophet Elijah's successor?,,Elisha,Ahab,Malachi,John the Baptist,,,8
10,"What was the birthplace of Eamon de Valera, the first president of the Irish Republic?",,New York City,Dublin,Barcelona,Belfast,,,11
11,"What was the birthplace of Mustafa Kemal Ataturk, the father of modern Turkey?",,Greece,Turkey,Uzbekistan,Persia,,,12
12,"What was the birthplace of Catherine the Great, the Empress of Russia?",,Poland,Russia,Ukraine,Bosnia,,,13
13,"What was the birthplace of Marie Antoinette, the last Queen of France?",,Austria,France,Switzerland,Belgium,,,14
14,"What was the birthplace of Adolf Hitler, the Nazi dictator of Germany?",,Austria,Switzerland,Germany,Serbia,,,15
15,Who copied these sentences into his Latin exercise book as a boy: 'No man understands me... What will become of me.... I know not what to do.'?,,Isaac Newton,George III,Lord Chesterfield,Jean-Jacques Rousseau,,,16
16,Isaac Newton's mother expected him to become a,,sheep farmer,alchemist,engraver,theologian,,,17
17,Babe Ruth hit 714 home runs in his career. How many times did he strike out?,,1330,286,521,715,,,18
18,"In the book of Ruth, what was Ruth's nationality?",,Moabite,Judean,Israelite,Canaanite,,,19
19,Which general was killed in the 1775 Battle of Quebec? ,,Richard Montgomery,Lord Montcalm,Henri de Guise,Louis Riel,,,20
28,"By passing the 1933 Enabling Act, the German Reichstag gave dictatorial powers to",,Adolph Hitler,Alger Hiss,Paul von Hindenburg,Otto von Bismarck,,,29
29,Where was French artist Paul Gauguin buried? ,,Marquesas Islands ,Channel Islands,"Île de la Cité, France","Grosse Ile, Michigan",,,30
30,Patrick Henry's 1775 speech 'Give me liberty or give me death' urged Virginians to,,join the American Revolution,confirm their loyalty to King George III,send money to French orphans,stand up for the rights of Native Americans,,,31
16,"During the Spanish Civil War, which political faction was supported by Hitler and Mussolini?",,Fascists,Republicans,Popular Front,Papal State,,,17
17,On what day did World War I end?,,"November 11, 1918","March 7, 1914","July 12, 1941","October 10, 1939","December 8, 1941",,18
4,Who was Prime Minister of the United Kingdom during World War II?,,Winston Churchill,Margaret Thatcher,William Pitt,Tony Blair,,,5
5,Which king was killed in 1066 at the Battle of Hastings ,,Harold,William,Henry,James,,,6
